CASENUM,VEH_NO,TRAILER_NO,VEHICLEDESCRIPTOR,VINDECODEDON,VINDECODEERROR,VEHICLETYPEID,VEHICLETYPE,MANUFACTURERFULLNAMEID,MANUFACTURERFULLNAME,MAKEID,MAKE,MODELID,MODEL,MODELYEAR,SERIES,TRIM,PLANTCOUNTRYID,PLANTCOUNTRY,PLANTSTATE,PLANTCITY,PLANTCOMPANYNAME,NONLANDUSEID,NONLANDUSE,NOTE,BODYCLASSID,BODYCLASS,GROSSVEHICLEWEIGHTRATINGFROMID,GROSSVEHICLEWEIGHTRATINGFROM,GROSSVEHICLEWEIGHTRATINGTOID,GROSSVEHICLEWEIGHTRATINGTO,TRAILERBODYTYPEID,TRAILERBODYTYPE,TRAILERTYPECONNECTIONID,TRAILERTYPECONNECTION,TRAILERLENGTHFT,OTHERTRAILERINFO,AXLESCOUNT,AXLECONFIGURATIONID,AXLECONFIGURATION
202203740464,1,1,46UFU402*K1******,2023-07-21 02:47:50,0,6,TRAILER,16231,"ROADCLIPPER ENTERPRISES, INC.",6469,DIAMOND C TRAILER MFG.,17772,Diamond C Trailer Mfg.,1989,,,6,UNITED STATES (USA),TEXAS,MT. PLEASANT,,,,,61,Trailer,,,,,16,Utility Trailer,,,40.000,Flatbed,2,,
202203746785,2,1,1DW1A281*6S******,2023-07-21 02:47:50,1,6,TRAILER,13506,"STOUGHTON TRAILERS, INC.",3414,STOUGHTON TRAILERS,7701,Stoughton trailers,2006,,,6,UNITED STATES (USA),WISCONSIN,STOUGHTON,"Stoughton Trailers, INC",,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,28.000,,1,,
202203749295,1,1,1JJF402W*2S******,2023-07-21 02:47:50,0,6,TRAILER,14508,WABASH NATIONAL CORPORATION,4847,WABASH,13327,Wabash National Corporation,2002,,,6,UNITED STATES (USA),TENNESSEE,SCOTT COUNTY,,,,,61,Trailer,,,,,6,Flat Bed Trailer/Platform Trailer,,,40.000,,2,,
202203749295,1,2,1JJF241W*2S******,2023-07-21 02:47:50,0,6,TRAILER,14508,WABASH NATIONAL CORPORATION,4847,WABASH,13327,Wabash National Corporation,2002,,,6,UNITED STATES (USA),TENNESSEE,SCOTT COUNTY,,,,,61,Trailer,,,,,6,Flat Bed Trailer/Platform Trailer,,,24.000,,1,,
202203754931,1,1,1PLE0452*RP******,2023-07-21 02:47:50,0,6,TRAILER,18041,PEERLESS CORPORATION,9288,PEERLESS,23523,Peerless,2024,,,6,UNITED STATES (USA),ARKANSAS,PARAGOULD,,,,,61,Trailer,,,,,34,Chipper Trailer,,,45.000,,2,,
202203761522,1,1,50JTU202*MB******,2023-07-21 02:47:50,0,6,TRAILER,6397,"HULL PORTER TRAILERS, INC.",10255,"HULL PORTER TRAILERS, INC.",27047,"Hull Porter Trailers, INC.",2021,,,6,UNITED STATES (USA),IOWA,BRADDYVILLE,,,,,61,Trailer,,,,,16,Utility Trailer,1,Ball Type Pull,20.000,,2,,
202203761522,2,1,1GRAA962*8S******,2023-07-21 02:47:50,0,6,TRAILER,1073,GREAT DANE TRAILERS,520,GREAT DANE TRAILERS,13436,Great Dane Trailers,2008,,,6,UNITED STATES (USA),GEORGIA,SAVANNAH,,,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,48.000,Trailer Type = Dry Freight/ Reefer/ Insulated Van,2,,
202203761978,1,1,1E9BF322*AS230***,2023-07-21 02:47:50,0,6,TRAILER,4244,"ELITE TRAILERS, INC.",1091,ELITE TRAILERS,4371,Elite Trailers,2010,,,6,UNITED STATES (USA),OKLAHOMA,SPIRO,,,,,61,Trailer,,,,,6,Flat Bed Trailer/Platform Trailer,,,32.000,Frame Type: I-Beam,2,,
202203761978,2,1,1W1UCF1A*XA******,2023-07-21 02:47:50,0,6,TRAILER,11681,WILSON TRAILER CO.,3855,WILSON TRAILER CO.,8390,Wilson Trailer Co.,1999,RIDGE STRAPS - ROLL TARP,,6,UNITED STATES (USA),IOWA,SIOUX CITY,PLANT 2,,,,61,Trailer,,,,,33,Grain Trailer,,,43.000,Type of Trailer: Aluminum Double Wall Hopper (DWH-B),2,,
202203763022,2,1,3H3C412S*1T******,2023-07-21 02:47:50,0,6,TRAILER,14282,"HYUNDAI DE MEXICO, S.A. DE C.V.",4876,HYUNDAI TRANSLEAD TRAILERS,11496,Hyundai Translead Trailers,2001,,,12,MEXICO,BAJA CALIFORNIA,TIJUANA,,,,,61,Trailer,,,,,109,Container Chassis/Container Trailer,,,41.000,Material: Steel,2,,
