CASENUM,VEH_NO,TRAILER_NO,VEHICLEDESCRIPTOR,VINDECODEDON,VINDECODEERROR,VEHICLETYPEID,VEHICLETYPE,MANUFACTURERFULLNAMEID,MANUFACTURERFULLNAME,MAKEID,MAKE,MODELID,MODEL,MODELYEAR,SERIES,TRIM,PLANTCOUNTRYID,PLANTCOUNTRY,PLANTSTATE,PLANTCITY,PLANTCOMPANYNAME,NONLANDUSEID,NONLANDUSE,NOTE,BODYCLASSID,BODYCLASS,GROSSVEHICLEWEIGHTRATINGFROMID,GROSSVEHICLEWEIGHTRATINGFROM,GROSSVEHICLEWEIGHTRATINGTOID,GROSSVEHICLEWEIGHTRATINGTO,TRAILERBODYTYPEID,TRAILERBODYTYPE,TRAILERTYPECONNECTIONID,TRAILERTYPECONNECTION,TRAILERLENGTHFT,OTHERTRAILERINFO,AXLESCOUNT,AXLECONFIGURATIONID,AXLECONFIGURATION
202203765875,2,1,1WC200D1*L3******,2023-07-21 02:47:50,0,6,TRAILER,16014,"UNIVERSAL TRAILER CARGO GROUP, INC.",6062,WELLS CARGO,15857,Wells Cargo Trailer,2020,,,6,UNITED STATES (USA),GEORGIA,,,,,,61,Trailer,,,,,5,Enclosed Trailer,,,,10 to less than 12 ft,1,,
202203768639,2,1,48X1F382*71******,2023-07-21 02:47:50,0,6,TRAILER,10839,"TRAVIS BODY & TRAILER, INC.",3520,"TRAVIS BODY & TRAILER, INC.",7868,"TRAVIS BODY & TRAILER, INC.",2007,,,6,UNITED STATES (USA),TEXAS,HOUSTON,,,,,61,Trailer,,,,,4,Dump Trailer/Dumping Trailer,30,Other,38.000,Tumer ARx43,2,,
202203769187,1,1,5V8VA532*HM******,2023-07-21 02:47:50,0,6,TRAILER,16522,VANGUARD NATIONAL TRAILER CORPORTATION,6474,VANGUARD NATIONAL TRAILER CORPORATION (VNTC),17782,VANGUARD NATIONAL TRAILER CORPORATION (VNTC),2017,,,6,UNITED STATES (USA),INDIANA,MONON,,,,,61,Trailer,,,,,186,Dry Freight,6,Kingpin,53.000,"Interior Post Aluminum Sheet Trailer (VIP, MaxCube)",,3,Tandem
202203769202,1,1,1UYVS253*EG******,2023-07-21 02:47:50,0,6,TRAILER,10289,UTILITY TRAILER MANUFACTURING COMPANY,10138,UTILITY TRAILER MANUFACTURER,26222,Utility Trailer Manufacturer,2014,,,6,UNITED STATES (USA),VIRGINIA,GLADE SPRING,,,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,53.000,,2,,
202203769401,2,1,1GRAA541*GB******,2023-07-21 02:47:50,1,6,TRAILER,1073,GREAT DANE TRAILERS,520,GREAT DANE TRAILERS,,,1986,,,6,UNITED STATES (USA),INDIANA,BRAZIL,,,,,,,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,27.000,Trailer Type = Dry Freight/ Reefer/ Insulated Van,1,,
202203771220,2,1,1UYVS253*FM******,2023-07-21 02:47:50,0,6,TRAILER,10289,UTILITY TRAILER MANUFACTURING COMPANY,10138,UTILITY TRAILER MANUFACTURER,26222,Utility Trailer Manufacturer,2015,,,6,UNITED STATES (USA),VIRGINIA,MARION,,,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,53.000,,2,,
202203772954,3,1,1DW1A532*DS******,2023-07-21 02:47:50,0,6,TRAILER,13506,"STOUGHTON TRAILERS, INC.",3414,STOUGHTON TRAILERS,7701,Stoughton trailers,2013,,,6,UNITED STATES (USA),WISCONSIN,STOUGHTON,"Stoughton Trailers, INC",,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,53.000,,2,,
202203774549,2,1,LJRC2825*51******,2023-07-21 02:47:50,0,6,TRAILER,9950,"CIMC VEHICLES GROUP CO., LTD.",4101,CIMC VEHICLES GROUP CO,8811,CIMC VEHICLES GROUP CO,2005,,,8,CHINA,,SHENZHEN,,,,"GVWR = 25,000-29,990kg",61,Trailer,9,"Class 8: 33,001 lb and above (14,969 kg and above)",,,109,Container Chassis/Container Trailer,,,28.000,,2,,
202203791097,1,1,5NYBU121*GN******,2023-07-21 02:47:50,0,6,TRAILER,8050,RANDY MYERS STAGECOACH TRAILERS,4408,STAGECOACH TRAILERS,9208,Stagecoach Trailers,2016,,,6,UNITED STATES (USA),TEXAS,NAPLES,,,,,61,Trailer,,,,,16,Utility Trailer,1,Ball Type Pull,12.000,,1,,
202203791578,2,1,5TR14830*72******,2023-07-21 02:47:50,1,6,TRAILER,12268,FONTAINE COMMERCIAL PLATFORM,1128,FONTAINE TRAILER CO.,4416,Fontaine Trailer Co.,2007,,,6,UNITED STATES (USA),ALABAMA,JASPER,,,,Optional Feature Code,61,Trailer,,,,,,,,,48.000,Trailer Type: Platform,3,,
202203799069,2,1,4ZECH222*L1******,2023-07-21 02:47:50,0,6,TRAILER,3684,LOAD TRAIL LLC,2111,LOAD TRAIL,5874,Load Trail,2020,,,6,UNITED STATES (USA),TEXAS,SUMNER,,,,,61,Trailer,,,,,3,Car Hauler Trailer,,,22.000,,2,,
202203802711,1,1,1TH3A64A*D1******,2023-07-21 02:47:50,0,6,TRAILER,13547,FLINT HILLS INDUSTRIES INC,5808,HILLSBORO,15196,HILLSBORO INDUSTRIES TRAILER,2013,Gooseneck,,6,UNITED STATES (USA),KANSAS,HILLSBORO,,,,,61,Trailer,,,,,101,Other,3,Gooseneck,35.000,Flatbed,,,
202203803131,1,1,1UYVS253*FP******,2023-07-21 02:47:50,0,6,TRAILER,10289,UTILITY TRAILER MANUFACTURING COMPANY,10138,UTILITY TRAILER MANUFACTURER,26222,Utility Trailer Manufacturer,2015,,,6,UNITED STATES (USA),ARKANSAS,PARAGOULD,,,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,53.000,,2,,
202203803131,2,1,1UYVS253*CP******,2023-07-21 02:47:50,0,6,TRAILER,10289,UTILITY TRAILER MANUFACTURING COMPANY,10138,UTILITY TRAILER MANUFACTURER,26222,Utility Trailer Manufacturer,2012,,,6,UNITED STATES (USA),ARKANSAS,PARAGOULD,,,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,53.000,,2,,
202203803141,1,1,1GRDM902*GH******,2023-07-21 02:47:50,0,6,TRAILER,1073,GREAT DANE TRAILERS,520,GREAT DANE TRAILERS,13436,Great Dane Trailers,2016,,,6,UNITED STATES (USA),TENNESSEE,HUNTSVILLE,,,,,61,Trailer,,,,,,,4,Straight Semi/Semi Trailer,45.000,Platform,2,,
202203805582,2,1,1GRAA062*XS******,2023-07-21 02:47:50,0,6,TRAILER,1073,GREAT DANE TRAILERS,520,GREAT DANE TRAILERS,13436,Great Dane Trailers,1999,,,6,UNITED STATES (USA),GEORGIA,SAVANNAH,,,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,6.000,Trailer Type = Dry Freight/ Reefer/ Insulated Van,2,,
202203807358,2,1,4P5CF492*N1******,2023-07-21 02:47:50,0,6,TRAILER,16013,"PJ TRAILERS MANUFACTURING, INC.",6060,PJ,28324,PJ,2022,,,6,UNITED STATES (USA),TEXAS,SUMNER,,,,,61,Trailer,,,,,101,Other,30,Other,49.000,Variable HITCH based on Size/Type of Trailer,2,,
202203808852,1,1,1TTF5320*31******,2023-07-21 02:47:50,0,6,TRAILER,8231,TRANSCRAFT CORPORATION,10511,TRANSCRAFT,28401,Transcraft,2003,,,6,UNITED STATES (USA),ILLINOIS,ANNA,,,,,61,Trailer,,,,,6,Flat Bed Trailer/Platform Trailer,6,Kingpin,53.000,Platform,2,,
202203809844,2,1,1GRAA962*3W******,2023-07-21 02:47:50,0,6,TRAILER,1073,GREAT DANE TRAILERS,520,GREAT DANE TRAILERS,13436,Great Dane Trailers,2003,,,6,UNITED STATES (USA),NEBRASKA,WAYNE,,,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,96.000,Trailer Type = Dry Freight/ Reefer/ Insulated Van,2,,
202203813217,2,1,5A3C753D*ML******,2023-07-21 02:47:50,1,6,TRAILER,8757,"CAR MATE TRAILERS, INC.",864,CAR MATE TRAILERS,4046,Car Mate Trailers,2021,,,6,UNITED STATES (USA),PENNSYLVANIA,LEEPER,,,,,61,Trailer,,,,,,,,,53.000,Width 4-8 feet,2,,
202203817883,1,1,5JYLP402*EP******,2023-07-21 02:47:50,0,6,TRAILER,2290,PITTS ENTERPRISES INC,2831,PITTS TRAILERS,6775,Pitts Trailers,2014,,,6,UNITED STATES (USA),ALABAMA,PITTSVIEW,,,,,61,Trailer,,,,,19,Logging Trailer,,,40.000,Trailer Type: Plantation,2,,
202203818939,2,1,1JJF482x*JL******,2023-07-21 02:47:50,0,6,TRAILER,14508,WABASH NATIONAL CORPORATION,4847,WABASH,10946,Dolly,2018,,,6,UNITED STATES (USA),INDIANA,LAFAYETTE,,,,,61,Trailer,,,,,6,Flat Bed Trailer/Platform Trailer,,,48.000,,2,,
202203819124,1,1,1GR1A561*KE******,2023-07-21 02:47:50,0,6,TRAILER,1073,GREAT DANE TRAILERS,520,GREAT DANE TRAILERS,13436,Great Dane Trailers,2019,,,6,UNITED STATES (USA),GEORGIA,STATESBORO,,,,,61,Trailer,,,,,,,6,Kingpin,28.000,"Semitrailer - dry freight, reefer, or insulated van",1,,
202203821729,2,1,1E1H5Z28*GR******,2023-07-21 02:47:50,0,6,TRAILER,5338,EAST MANUFACTURING CORP.,1334,EAST MANUFACTURING CORP.,4686,East Manufacturing Corp,2016,,,6,UNITED STATES (USA),OHIO,RANDOLPH,,,,,61,Trailer,9,"Class 8: 33,001 lb and above (14,969 kg and above)",,,6,Flat Bed Trailer/Platform Trailer,,,,Trailer Length 48 and above,2,,
202203822378,1,1,1FWE0303*YA******,2023-07-21 02:47:50,0,6,TRAILER,8234,METAL CRAFT MANUFACTURING LLC,8311,METAL CRAFT TRAILERS,22099,Metal Craft Trailers,2000,,,6,UNITED STATES (USA),UTAH,SALT LAKE CITY,,,,,61,Trailer,,,,,2,Boat Trailer,,,30.000,,3,,
202203825017,3,1,4X4TSE61*XN******,2023-07-21 02:47:50,0,6,TRAILER,1084,"FOREST RIVER, INC.",531,FOREST RIVER,2429,Sierra Towables,1999,,,6,UNITED STATES (USA),INDIANA,ELKHART,,,,Address: 29618 C.R.12,61,Trailer,,,,,21,Travel Trailer,,,16.000,,1,,
202203825383,2,1,1JJV532D*HL******,2023-07-21 02:47:50,0,6,TRAILER,14508,WABASH NATIONAL CORPORATION,12319,WABASH VANS,10942,Dry Van Duraplate,2017,,,6,UNITED STATES (USA),INDIANA,LAFAYETTE,,,,,61,Trailer,,,,,36,Van Trailer,,,53.000,,2,,
202203825668,2,1,1RND53A2*LR******,2023-07-21 02:47:50,0,6,TRAILER,3579,"REITNOUER, INC.",5594,REITNOUER INC,14493,Reitnouer Inc Trailers,2020,,,6,UNITED STATES (USA),PENNSYLVANIA,READING,,,,,61,Trailer,9,"Class 8: 33,001 lb and above (14,969 kg and above)",,,61,Drop Deck Trailer,6,Kingpin,53.000,Airride,2,,
202203832458,1,1,1GRAA062*8W******,2023-07-21 02:47:50,0,6,TRAILER,1073,GREAT DANE TRAILERS,520,GREAT DANE TRAILERS,13436,Great Dane Trailers,2008,,,6,UNITED STATES (USA),NEBRASKA,WAYNE,,,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,53.000,Trailer Type = Dry Freight/ Reefer/ Insulated Van,2,,
202203832458,7,1,1JJV532D*BL******,2023-07-21 02:47:50,0,6,TRAILER,14508,WABASH NATIONAL CORPORATION,12319,WABASH VANS,10942,Dry Van Duraplate,2011,,,6,UNITED STATES (USA),INDIANA,LAFAYETTE,,,,,61,Trailer,,,,,36,Van Trailer,,,53.000,,2,,
202203833414,1,1,1DW1A532*FS******,2023-07-21 02:47:50,0,6,TRAILER,13506,"STOUGHTON TRAILERS, INC.",3414,STOUGHTON TRAILERS,7701,Stoughton trailers,2015,,,6,UNITED STATES (USA),WISCONSIN,STOUGHTON,"Stoughton Trailers, INC",,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,53.000,,2,,
202203833415,2,1,5MC42421*E3******,2023-07-21 02:47:50,0,6,TRAILER,5772,"MANAC TRAILERS USA, INC.",3896,MANAC TRAILERS USA,8528,Manac,2014,,,6,UNITED STATES (USA),MISSOURI,ORAN,"Manac Trailers USA, Inc.",,,,61,Trailer,,,,,4,Dump Trailer/Dumping Trailer,4,Straight Semi/Semi Trailer,42.000,Kingpin,2,,
202203833707,2,1,1UYFS244*4A******,2023-07-21 02:47:50,0,6,TRAILER,10289,UTILITY TRAILER MANUFACTURING COMPANY,10138,UTILITY TRAILER MANUFACTURER,26222,Utility Trailer Manufacturer,2004,,,6,UNITED STATES (USA),ALABAMA,ENTERPRISE,,,,,61,Trailer,,,,,6,Flat Bed Trailer/Platform Trailer,4,Straight Semi/Semi Trailer,44.000,,2,,
202203836912,2,1,1UYVS253*N3******,2023-07-21 02:47:50,0,6,TRAILER,10289,UTILITY TRAILER MANUFACTURING COMPANY,10138,UTILITY TRAILER MANUFACTURER,26222,Utility Trailer Manufacturer,2022,,,6,UNITED STATES (USA),ARKANSAS,PARAGOULD,,,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,53.000,,2,,
202203836914,1,1,5WSAww42*BN******,2023-07-21 02:47:50,0,6,TRAILER,10142,WALKER STAINLESS EQUIPMENT CO,6978,WALKER,18560,DOT/TC-406,2011,,,6,UNITED STATES (USA),WISCONSIN,NEW LISBON,,,,,61,Trailer,,,,,15,Tank Trailer,,,,Trailer Material: Aluminum,4,,
202203837092,2,1,3H3V281C*ET******,2023-07-21 02:47:50,0,6,TRAILER,14282,"HYUNDAI DE MEXICO, S.A. DE C.V.",4876,HYUNDAI TRANSLEAD TRAILERS,11496,Hyundai Translead Trailers,2014,,,12,MEXICO,BAJA CALIFORNIA,TIJUANA,,,,,61,Trailer,,,,,36,Van Trailer,,,28.000,Material: Aluminum/Steel,1,,
202203842574,1,1,5WUBU202*JF******,2023-07-21 02:47:50,0,6,TRAILER,10304,LAWRIMORE MANUFACTURING INC.,2273,LAWRIMORE MANUFACTURING,6085,Lawrimore Manufacturing,2018,,,6,UNITED STATES (USA),ALABAMA,FALKVILLE,,,,,61,Trailer,,,,,16,Utility Trailer,1,Ball Type Pull,20.000,,2,,
202203844263,2,1,5MYUU162*KB******,2023-07-21 02:47:50,0,6,TRAILER,15919,"DOWN TO EARTH CONST. & EQUIP. SALES, INC.",5483,DOWN TO EARTH,14218,Down to Earth Trailers,2019,,,6,UNITED STATES (USA),GEORGIA,BAXLEY,,,,,61,Trailer,,,,,16,Utility Trailer,1,Ball Type Pull,16.000,Angle Iron Frame,2,,
202203847661,1,1,5K1BU142*61******,2023-07-21 02:47:50,0,6,TRAILER,2462,MILLER BUILT TRAILERS,8689,MILLER BUILT TRAILERS,22747,Miller Built Trailers,2006,,,6,UNITED STATES (USA),GEORGIA,TIFTON,,,,,61,Trailer,,,,,16,Utility Trailer,1,Ball Type Pull,14.000,Angle Iron Frame,2,,
202203847740,2,1,7F21B281*M2******,2023-07-21 02:47:50,0,6,TRAILER,13986,"XPO MANUFACTURING, LLC",4823,XPO,10709,XPO,2021,,,6,UNITED STATES (USA),ARKANSAS,SEARCY,,,,,61,Trailer,,,,,,,6,Kingpin,28.000,Body Type: New Wedge Dry Freight Van utilizing some reconditioned parts,1,,
202203849447,1,1,1JJV532B*LL******,2023-07-21 02:47:50,0,6,TRAILER,14508,WABASH NATIONAL CORPORATION,12319,WABASH VANS,10945,Refrigerated Van,2020,,,6,UNITED STATES (USA),INDIANA,LAFAYETTE,,,,,61,Trailer,,,,,36,Van Trailer,,,53.000,,2,,
202203853694,2,1,1E9BF302*DS230***,2023-07-21 02:47:50,0,6,TRAILER,4244,"ELITE TRAILERS, INC.",1091,ELITE TRAILERS,4371,Elite Trailers,2013,,,6,UNITED STATES (USA),OKLAHOMA,SPIRO,,,,,61,Trailer,,,,,6,Flat Bed Trailer/Platform Trailer,,,30.000,Frame Type: I-Beam,2,,
202203857637,2,1,1UYVS253*BP******,2023-07-21 02:47:50,0,6,TRAILER,10289,UTILITY TRAILER MANUFACTURING COMPANY,10138,UTILITY TRAILER MANUFACTURER,26222,Utility Trailer Manufacturer,2011,,,6,UNITED STATES (USA),ARKANSAS,PARAGOULD,,,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,53.000,,2,,
202203858413,1,1,13N15320*N1******,2023-07-21 02:47:50,0,6,TRAILER,12268,FONTAINE COMMERCIAL PLATFORM,1128,FONTAINE TRAILER CO.,4416,Fontaine Trailer Co.,2022,,,6,UNITED STATES (USA),ALABAMA,HALEYVILLE,,,,Optional Features: None,61,Trailer,,,,,6,Flat Bed Trailer/Platform Trailer,,,53.000,,2,,
202203859928,1,1,3H3C412S*4T******,2023-07-21 02:47:50,0,6,TRAILER,14282,"HYUNDAI DE MEXICO, S.A. DE C.V.",4876,HYUNDAI TRANSLEAD TRAILERS,11496,Hyundai Translead Trailers,2004,,,12,MEXICO,BAJA CALIFORNIA,TIJUANA,,,,,61,Trailer,,,,,109,Container Chassis/Container Trailer,,,41.000,Material: Steel,2,,
202203860365,1,1,1JJV532W*6L******,2023-07-21 02:47:50,0,6,TRAILER,14508,WABASH NATIONAL CORPORATION,4847,WABASH,13327,Wabash National Corporation,2006,,,6,UNITED STATES (USA),INDIANA,LAFAYETTE,,,,,61,Trailer,,,,,36,Van Trailer,,,53.000,,2,,
202203861387,1,1,1GRAA062*HW******,2023-07-21 02:47:50,0,6,TRAILER,1073,GREAT DANE TRAILERS,520,GREAT DANE TRAILERS,13436,Great Dane Trailers,2017,,,6,UNITED STATES (USA),NEBRASKA,WAYNE,,,,,61,Trailer,,,,,,,4,Straight Semi/Semi Trailer,53.000,Dry Freight Van / Reefer Van / Insulated Van,2,,
202203864881,2,1,1R9GD302*FM356***,2023-07-21 02:47:50,0,6,TRAILER,3016,ROLLS RITE TRAILERS,6238,ROLLS RITE TRAILERS INC,17305,Rolls Rite Trailers Inc,2015,,,6,UNITED STATES (USA),FLORIDA,MARIANNA,,,,,61,Trailer,,,,,125,Dovetail,3,Gooseneck,30.000,,2,,
202203865140,1,1,1JJV532D*FL******,2023-07-21 02:47:50,0,6,TRAILER,14508,WABASH NATIONAL CORPORATION,12319,WABASH VANS,10942,Dry Van Duraplate,2015,,,6,UNITED STATES (USA),INDIANA,LAFAYETTE,,,,,61,Trailer,,,,,36,Van Trailer,,,53.000,,2,,
202203868615,2,1,1TTF532A*L3******,2023-07-21 02:47:50,0,6,TRAILER,8231,TRANSCRAFT CORPORATION,12051,BENSON/WABASH,27664,Aluminium Flatbed,2020,,,6,UNITED STATES (USA),KENTUCKY,CADIZ,,,,,61,Trailer,,,,,6,Flat Bed Trailer/Platform Trailer,6,Kingpin,53.000,,2,,
202203872945,1,1,1TTE532A*L3******,2023-07-21 02:47:50,0,6,TRAILER,8231,TRANSCRAFT CORPORATION,12051,BENSON/WABASH,27664,Aluminium Flatbed,2020,,,6,UNITED STATES (USA),KENTUCKY,CADIZ,,,,,61,Trailer,,,,,61,Drop Deck Trailer,6,Kingpin,53.000,,2,,
202203873565,2,1,13N14830*61******,2023-07-21 02:47:50,0,6,TRAILER,12268,FONTAINE COMMERCIAL PLATFORM,1128,FONTAINE TRAILER CO.,4416,Fontaine Trailer Co.,2006,,,6,UNITED STATES (USA),ALABAMA,HALEYVILLE,,,,,61,Trailer,,,,,6,Flat Bed Trailer/Platform Trailer,,,48.000,"Tandem Axles, Spread",2,,
202203874832,1,1,4YDF2952*34******,2023-07-21 02:47:50,0,6,TRAILER,2347,KEYSTONE RV,7615,KEYSTONE,20555,Keystone,2003,,,6,UNITED STATES (USA),INDIANA,GOSHEN,Plant #4,,,Arbitrary Final Digit,61,Trailer,,,,,26,Fifth Wheel,5,Fifth Wheel,29.000,Recreational Vehicle,2,,
202203874832,1,2,53BTPFA1*KA******,2023-07-21 02:47:50,0,6,TRAILER,6339,"LGS INDUSTRIES, INC.",1919,LGS INDUSTRIES,17582,Everlite,2019,,,6,UNITED STATES (USA),INDIANA,,,,,,61,Trailer,,,,,6,Flat Bed Trailer/Platform Trailer,,,,Type of Trailer: Open,1,,
202203874832,2,1,1JJV532D*EL******,2023-07-21 02:47:50,0,6,TRAILER,14508,WABASH NATIONAL CORPORATION,12319,WABASH VANS,10942,Dry Van Duraplate,2014,,,6,UNITED STATES (USA),INDIANA,LAFAYETTE,,,,,61,Trailer,,,,,36,Van Trailer,,,53.000,,2,,
202203875036,2,1,1S12E928*LE******,2023-07-21 02:47:50,1,6,TRAILER,14956,"STRICK TRAILERS, LLC",4977,STRICK COMMERCIAL TRAILER,12176,Strick Commercial Trailer,1990,Smooth Side,,6,UNITED STATES (USA),,MONROE,,,,,61,Trailer,,,,,,,4,Straight Semi/Semi Trailer,28.000,Dry Freight Van,2,3,Tandem
202203877458,3,1,1P9BU252*NG402***,2023-07-21 02:47:50,0,6,TRAILER,19566,"PINE HILL MANUFACTURING, LLC",10247,PINE HILL / BAUXLITE,26955,Pine Hill / Bauxlite,2022,,,6,UNITED STATES (USA),PENNSYLVANIA,GORDONVILLE,,,,,61,Trailer,,,,,16,Utility Trailer,1,Ball Type Pull,25.000,,2,,
202203878108,1,1,1EA1C242*L1******,2023-07-21 02:47:50,1,6,TRAILER,12936,"FLEETWOOD ENTERPRISES, INC.",5638,FLEETWOOD ENTERPRISES (TERRY),24471,"Fleetwood Enterprises, Inc. (Terry)",2020,,,6,UNITED STATES (USA),VIRGINIA,WINCHESTER,,,,,61,Trailer,,,,,21,Travel Trailer,,,24.000,Standard,2,,
202203878108,2,1,1GRAA062*JK******,2023-07-21 02:47:50,0,6,TRAILER,1073,GREAT DANE TRAILERS,520,GREAT DANE TRAILERS,13436,Great Dane Trailers,2018,,,6,UNITED STATES (USA),ILLINOIS,KEWANEE,,,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,53.000,"Semitrailer - Dry Freight Van, Reefer Van, Insulated Van",2,,
202203880308,1,1,1GRAA062*DE******,2023-07-21 02:47:50,0,6,TRAILER,1073,GREAT DANE TRAILERS,520,GREAT DANE TRAILERS,13436,Great Dane Trailers,2013,,,6,UNITED STATES (USA),GEORGIA,STATESBORO,,,,,61,Trailer,,,,,,,4,Straight Semi/Semi Trailer,53.000,Dry Freight Van / Reefer Van / Insulated Van,2,,
202203880490,2,1,3H3V482K*NJ******,2023-07-21 02:47:50,0,6,TRAILER,14282,"HYUNDAI DE MEXICO, S.A. DE C.V.",4876,HYUNDAI TRANSLEAD TRAILERS,11496,Hyundai Translead Trailers,2022,,,12,MEXICO,BAJA CALIFORNIA,TIJUANA,,,,Body Type: SEMITRAILER,61,Trailer,,,,,36,Van Trailer,6,Kingpin,48.000,,2,,
202203882360,2,1,1JJV532W*8L******,2023-07-21 02:47:50,0,6,TRAILER,14508,WABASH NATIONAL CORPORATION,4847,WABASH,13327,Wabash National Corporation,2008,,,6,UNITED STATES (USA),INDIANA,LAFAYETTE,,,,,61,Trailer,,,,,36,Van Trailer,,,53.000,,2,,
