CASENUM,VEH_NO,TRAILER_NO,VehicleDescriptor,VINDecodedOn,VINDecodeError,VehicleTypeId,VehicleType,ManufacturerFullNameId,ManufacturerFullName,MakeId,Make,ModelId,Model,ModelYear,Series,Trim,PlantCountryId,PlantCountry,PlantState,PlantCity,PlantCompanyName,Note,BodyClassId,BodyClass,GrossVehicleWeightRatingFromId,GrossVehicleWeightRatingFrom,GrossVehicleWeightRatingToId,GrossVehicleWeightRatingTo,TrailerBodyTypeId,TrailerBodyType,TrailerTypeConnectionId,TrailerTypeConnection,TrailerLengthFT,OtherTrailerInfo,AxlesCount,AxleConfigurationId,AxleConfiguration
202103293474,2,1,1PMA2452*X5******,2022-07-10 03:16:04,0,6,TRAILER,6179,"POLAR TANK TRAILER, LLC",2921,POLAR TANK TRAILER,6874,Polar Tank Trailer,1999,,,6,UNITED STATES (USA),MISSOURI,SPRINGFIELD,,,61,Trailer,,,,,15,Tank Trailer,30,Other,45.000,Vessel Code: DOT 406,2,,
202103295518,3,1,5WKBE121*H1******,2022-07-10 03:16:04,0,6,TRAILER,9286,"FREEDOM TRAILERS, LLC",1220,"FREEDOM TRAILERS, LLC",4541,"Freedom Trailers, LLC",2017,,,6,UNITED STATES (USA),GEORGIA,WILLACOOCHEE,"Freedom Trailers, LLC",,61,Trailer,,,,,5,Enclosed Trailer,1,Ball Type Pull,12.000,,1,,
202103295808,1,1,5MC11162*6P******,2022-07-10 03:16:04,0,6,TRAILER,5772,"MANAC TRAILERS USA, INC.",3896,MANAC TRAILERS USA,8528,Manac,2006,Steel,,6,UNITED STATES (USA),MISSOURI,ORAN,"Manac Trailers USA, Inc.",,61,Trailer,,,,,33,Grain Trailer,,,,Over 36ft,2,,
202103297650,1,1,3H3V482C*WT******,2022-07-10 03:16:04,0,6,TRAILER,14282,"HYUNDAI DE MEXICO, S.A. DE C.V.",4876,HYUNDAI TRANSLEAD TRAILERS,11496,Hyundai Translead Trailers,1998,,,12,MEXICO,BAJA CALIFORNIA,TIJUANA,,,61,Trailer,,,,,36,Van Trailer,,,48.000,Material: Aluminum/Steel,2,,
202103299551,2,1,1GRAA062*1S******,2022-07-10 03:16:04,0,6,TRAILER,1073,GREAT DANE TRAILERS,520,GREAT DANE TRAILERS,13436,Great Dane Trailers,2001,,,6,UNITED STATES (USA),GEORGIA,SAVANNAH,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,6.000,Trailer Type = Dry Freight/ Reefer/ Insulated Van,2,,
202103300604,1,1,1GRAA062*GB******,2022-07-12 00:43:42,0,6,TRAILER,1073,GREAT DANE TRAILERS,520,GREAT DANE TRAILERS,13436,Great Dane Trailers,2016,,,6,UNITED STATES (USA),INDIANA,BRAZIL,,,61,Trailer,,,,,,,4,Straight Semi/Semi Trailer,53.000,Dry Freight Van / Reefer Van / Insulated Van,2,,
202103301473,2,1,4ZECH182*H1******,2022-07-10 03:16:04,0,6,TRAILER,3684,LOAD TRAIL LLC,2111,LOAD TRAIL,5874,Load Trail,2017,,,6,UNITED STATES (USA),TEXAS,SUMNER,,,61,Trailer,,,,,3,Car Hauler Trailer,,,18.000,,2,,
202103304057,1,1,58SBD142*ME******,2022-07-10 03:16:04,0,6,TRAILER,1509,EAST TEXAS TRAILERS,1358,EAST TEXAS TRAILERS,4701,East Texas Trailers,2021,,,6,UNITED STATES (USA),TEXAS,PETTY,,,61,Trailer,,,,,4,Dump Trailer/Dumping Trailer,14,Bumper Pull,14.000,,2,,
202103310603,1,1,1JJV532B*BL******,2022-07-10 03:16:04,0,6,TRAILER,14508,WABASH NATIONAL CORPORATION,4847,WABASH NATIONAL CORPORATION,10945,Refrigerated Van,2011,,,6,UNITED STATES (USA),INDIANA,LAFAYETTE,,,61,Trailer,,,,,36,Van Trailer,,,53.000,,2,,
202103311209,2,1,13NE5230*83******,2022-07-12 00:43:42,0,6,TRAILER,12268,FONTAINE COMMERCIAL PLATFORM,1128,FONTAINE TRAILER CO.,4416,Fontaine Trailer Co.,2008,,,6,UNITED STATES (USA),ALABAMA,SPRINGVILLE,,Optional Features: None,61,Trailer,,,,,,,,,52.000,"Body Type: Heavy Hauler, Narrow Hydraulic Removable Gooseneck, DBL Drop",3,,
202103311209,2,2,13NM0510*83******,2022-07-12 00:43:42,0,6,TRAILER,12268,FONTAINE COMMERCIAL PLATFORM,1128,FONTAINE TRAILER CO.,4416,Fontaine Trailer Co.,2008,,,6,UNITED STATES (USA),ALABAMA,SPRINGVILLE,,Optional Features: None,61,Trailer,,,,,,,,,5.000,"Body Type: Rr Dolly, Attached to Rr",1,,
202103311396,1,1,7F21D482*K2******,2022-07-10 03:16:04,0,6,TRAILER,13986,XPO LOGISTICS MANUFACTURING LLC,4823,XPO,10709,XPO,2019,,,6,UNITED STATES (USA),ARKANSAS,SEARCY,,,61,Trailer,,,,,,,6,Kingpin,48.000,Body Type: New Rectangular Dry Freight Van utilizing some reconditioned parts,2,,
202103311396,2,1,1W9BU182*JL364***,2022-07-10 03:16:04,0,6,TRAILER,9206,WYATT'S TRAILER SALES,7672,WYATT'S,20667,Wyatt's Trailer,2018,,,6,UNITED STATES (USA),TEXAS,LONGVIEW,,,61,Trailer,,,,,16,Utility Trailer,1,Ball Type Pull,18.000,,2,,
202103312626,1,1,1P9CP482*BB343***,2022-07-10 03:16:04,0,6,TRAILER,8027,"PRATT INDUSTRIES, LLC",3015,PRATT INDUSTRIES,7027,Pratt Industries,2011,,,6,UNITED STATES (USA),MICHIGAN,BRIDGMAN,,,61,Trailer,,,,,109,Container Chassis/Container Trailer,,,48.000,Type: Semitrailer,2,,
202103313000,1,1,5MAPA482*KB******,2022-07-10 03:16:04,0,6,TRAILER,5950,"MAC TRAILER MFG, INC.",6826,MAC TRAILER MANUFACTURING,18288,MAC TRAILER MANUFACTURING,2019,,,6,UNITED STATES (USA),,BILLINGS,SUB CONTRACT 20,,61,Trailer,,,,,6,Flat Bed Trailer/Platform Trailer,6,Kingpin,48.000,Body with Aluminum Frame,2,,
202103313000,3,1,1JJV532D*DL******,2022-07-10 03:16:04,0,6,TRAILER,14508,WABASH NATIONAL CORPORATION,4847,WABASH NATIONAL CORPORATION,10942,Dry Van Duraplate,2013,,,6,UNITED STATES (USA),INDIANA,LAFAYETTE,,,61,Trailer,,,,,36,Van Trailer,,,53.000,,2,,
