iter	Passed	Remaining
400	21090	31504
401	21149	31460
402	21194	31397
403	21246	31343
404	21298	31290
405	21364	31257
406	21419	31208
407	21464	31145
408	21519	31095
409	21568	31038
410	21624	30989
411	21672	30931
412	21725	30879
413	21774	30820
414	21821	30760
415	21878	30713
416	21934	30666
417	21995	30624
418	22042	30565
419	22097	30515
420	22144	30455
421	22198	30404
422	22254	30356
423	22306	30302
424	22358	30249
425	22405	30189
426	22456	30134
427	22507	30080
428	22555	30021
429	22606	29966
430	22660	29916
431	22704	29852
432	22759	29802
433	22810	29748
434	22860	29692
435	22908	29633
436	22957	29577
437	23001	29513
438	23049	29454
439	23095	29394
440	23147	29341
441	23205	29295
442	23257	29242
443	23307	29186
444	23414	29201
445	23474	29159
446	23524	29102
447	23578	29052
448	23625	28992
449	23706	28974
450	23760	28924
451	23820	28880
452	23876	28830
453	23932	28781
454	23986	28731
455	24033	28671
456	24083	28615
457	24134	28560
458	24187	28508
459	24245	28461
460	24294	28405
461	24340	28344
462	24386	28283
463	24482	28281
464	24535	28228
465	24596	28186
466	24648	28131
467	24706	28084
468	24754	28027
469	24803	27970
470	24857	27918
471	24906	27861
472	24956	27805
473	25004	27747
474	25050	27686
475	25105	27637
476	25151	27577
477	25201	27520
478	25251	27466
479	25305	27413
480	25350	27353
481	25402	27299
482	25455	27247
483	25511	27198
484	25562	27143
485	25615	27091
486	25659	27029
487	25711	26975
488	25767	26926
489	25818	26871
490	25866	26814
491	25924	26767
492	25971	26708
493	26015	26647
494	26063	26589
495	26114	26536
496	26161	26477
497	26210	26420
498	26263	26369
499	26311	26311
500	26362	26257
501	26411	26201
502	26463	26148
503	26517	26096
504	26566	26040
505	26617	25986
506	26663	25927
507	26717	25876
508	26771	25825
509	26825	25773
510	26871	25715
511	26920	25658
512	26971	25604
513	27020	25548
514	27067	25491
515	27114	25433
516	27161	25375
517	27207	25317
518	27269	25272
519	27315	25214
520	27364	25158
521	27417	25106
522	27470	25053
523	27520	24999
524	27575	24948
525	27620	24889
526	27677	24841
527	27725	24785
528	27770	24725
529	27830	24680
530	27881	24626
531	27932	24571
532	27990	24524
533	28032	24462
534	28087	24412
535	28137	24357
536	28191	24306
537	28237	24248
538	28284	24191
539	28338	24140
540	28395	24091
541	28444	24035
542	28495	23982
543	28549	23931
544	28601	23878
545	28661	23831
546	28707	23773
547	28757	23719
548	28806	23664
549	28859	23612
550	28916	23563
551	28974	23515
552	29029	23465
553	29083	23414
554	29132	23358
555	29179	23301
556	29232	23249
557	29289	23200
558	29346	23151
559	29402	23102
560	29451	23046
561	29505	22995
562	29561	22945
563	29609	22889
564	29652	22830
565	29703	22775
566	29750	22719
567	29801	22665
568	29858	22616
569	29903	22558
570	29952	22503
571	30007	22453
572	30062	22402
573	30120	22353
574	30166	22296
575	30218	22244
576	30269	22190
577	30321	22137
578	30374	22085
579	30434	22038
580	30487	21986
581	30536	21931
582	30588	21878
583	30641	21826
584	30694	21774
585	30749	21724
586	30802	21671
587	30847	21614
588	30897	21559
589	30952	21509
590	31005	21457
591	31089	21426
592	31159	21385
593	31236	21350
594	31318	21317
595	31419	21297
596	31520	21277
597	31602	21244
598	31676	21205
599	31781	21187
600	31845	21141
601	31914	21099
602	32001	21068
603	32058	21018
604	32125	20974
605	32179	20921
606	32268	20892
607	32335	20847
608	32396	20799
609	32499	20778
610	32597	20753
611	32666	20710
612	32712	20651
613	32762	20596
614	32816	20543
615	32868	20489
616	32925	20438
617	32982	20387
618	33050	20342
619	33114	20295
620	33167	20242
621	33221	20189
622	33305	20154
623	33435	20146
624	33526	20116
625	33590	20068
626	33659	20023
627	33725	19977
628	33787	19928
629	33841	19875
630	33896	19822
631	33953	19770
632	34008	19717
633	34060	19662
634	34105	19604
635	34153	19546
636	34205	19492
637	34259	19438
638	34318	19387
639	34370	19333
640	34423	19279
641	34474	19224
642	34529	19171
643	34584	19118
644	34639	19065
645	34694	19012
646	34755	18962
647	34803	18905
648	34855	18850
649	34910	18797
650	34956	18740
651	35014	18688
652	35067	18634
653	35118	18579
654	35167	18523
655	35217	18467
656	35266	18411
657	35321	18358
658	35376	18305
659	35432	18252
660	35481	18196
661	35538	18145
662	35589	18089
663	35644	18037
664	35692	17980
665	35744	17925
666	35801	17873
667	35849	17817
668	35907	17765
669	35962	17712
670	36019	17660
671	36072	17606
672	36122	17551
673	36179	17499
674	36235	17446
675	36289	17393
676	36364	17349
677	36463	17317
678	36518	17264
679	36582	17215
680	36638	17162
681	36689	17107
682	36751	17057
683	36808	17004
684	36855	16948
685	36906	16893
686	36959	16838
687	37014	16785
688	37069	16732
689	37120	16677
690	37175	16624
691	37225	16568
692	37284	16517
693	37336	16462
694	37386	16406
695	37435	16351
696	37484	16295
697	37543	16243
698	37600	16191
699	37652	16136
700	37700	16080
701	37748	16024
702	37805	15971
703	37862	15919
704	37919	15867
705	37971	15812
706	38017	15755
707	38069	15700
708	38122	15647
709	38169	15590
710	38215	15533
711	38268	15479
712	38324	15426
713	38371	15369
714	38427	15317
715	38482	15264
716	38536	15210
717	38606	15163
718	38663	15110
719	38717	15056
720	38777	15005
721	38830	14951
722	38883	14897
723	38937	14843
724	38987	14788
725	39041	14734
726	39100	14682
727	39153	14628
728	39207	14575
729	39259	14520
730	39310	14465
731	39359	14410
732	39412	14356
733	39468	14303
734	39518	14248
735	39574	14195
736	39630	14142
737	39681	14087
738	39737	14034
739	39792	13981
740	39840	13925
741	39897	13872
742	39957	13821
743	40007	13765
744	40065	13713
745	40115	13658
746	40162	13602
747	40219	13549
748	40271	13495
749	40328	13442
750	40381	13388
751	40432	13334
752	40497	13283
753	40572	13237
754	40621	13181
755	40679	13129
756	40745	13079
757	40806	13027
758	40862	12974
759	40927	12924
760	40991	12873
761	41057	12823
762	41143	12779
763	41212	12730
764	41269	12677
765	41388	12643
766	41503	12607
767	41585	12562
768	41657	12513
769	41745	12469
770	41810	12418
771	41877	12368
772	41944	12317
773	42021	12269
774	42089	12219
775	42139	12164
776	42202	12112
777	42320	12075
778	42382	12023
779	42430	11967
780	42485	11913
781	42536	11858
782	42594	11804
783	42649	11750
784	42714	11698
785	42842	11664
786	42938	11621
787	43029	11576
788	43092	11524
789	43160	11473
790	43224	11420
791	43282	11367
792	43335	11311
793	43393	11258
794	43452	11204
795	43524	11154
796	43588	11102
797	43657	11051
798	43714	10997
799	43772	10943
800	43832	10889
801	43892	10836
802	43947	10781
803	44047	10738
804	44111	10685
805	44167	10630
806	44223	10576
807	44273	10520
808	44329	10466
809	44386	10411
810	44439	10356
811	44496	10302
812	44550	10247
813	44606	10192
814	44659	10137
815	44711	10081
816	44765	10027
817	44829	9974
818	44880	9918
819	44940	9865
820	44992	9809
821	45046	9754
822	45106	9700
823	45164	9646
824	45216	9591
825	45265	9535
826	45317	9479
827	45379	9426
828	45432	9371
829	45486	9316
830	45540	9261
831	45592	9206
832	45643	9150
833	45703	9096
834	45756	9041
835	45815	8987
836	45878	8934
837	45936	8880
838	45989	8825
839	46044	8770
840	46098	8715
841	46153	8660
842	46210	8606
843	46271	8552
844	46328	8498
845	46381	8442
846	46432	8387
847	46484	8332
848	46536	8276
849	46598	8223
850	46659	8169
851	46715	8114
852	46764	8059
853	46816	8003
854	46874	7949
855	46930	7894
856	46987	7840
857	47043	7785
858	47098	7730
859	47158	7676
860	47212	7622
861	47263	7566
862	47320	7512
863	47377	7457
864	47428	7402
865	47483	7347
866	47534	7291
867	47585	7236
868	47636	7181
869	47693	7126
870	47745	7071
871	47806	7017
872	47856	6961
873	47914	6907
874	47966	6852
875	48024	6797
876	48082	6743
877	48139	6689
878	48206	6635
879	48260	6580
880	48317	6526
881	48373	6471
882	48427	6416
883	48484	6362
884	48531	6306
885	48581	6250
886	48639	6196
887	48687	6140
888	48758	6087
889	48823	6034
890	48892	5981
891	48992	5931
892	49059	5878
893	49114	5823
894	49240	5776
895	49326	5725
896	49394	5671
897	49463	5618
898	49539	5565
899	49615	5512
900	49682	5458
901	49744	5404
902	49841	5353
903	49902	5299
904	49976	5246
905	50053	5193
906	50127	5139
907	50203	5086
908	50288	5034
909	50350	4979
910	50408	4924
911	50469	4869
912	50528	4814
913	50631	4764
914	50689	4708
915	50747	4653
916	50808	4598
917	50865	4543
918	50940	4489
919	51008	4435
920	51067	4380
921	51123	4324
922	51235	4274
923	51304	4219
924	51383	4166
925	51451	4111
926	51539	4058
927	51665	4008
928	51737	3954
929	51813	3899
930	51884	3845
931	51949	3790
932	52008	3734
933	52069	3679
934	52129	3624
935	52186	3568
936	52243	3512
937	52299	3456
938	52356	3401
939	52415	3345
940	52477	3290
941	52538	3234
942	52591	3178
943	52651	3123
944	52710	3067
945	52761	3011
946	52820	2956
947	52912	2902
948	52976	2847
949	53027	2790
950	53087	2735
951	53144	2679
952	53200	2623
953	53257	2567
954	53319	2512
955	53382	2456
956	53439	2401
957	53489	2345
958	53547	2289
959	53603	2233
960	53662	2177
961	53717	2121
962	53766	2065
963	53821	2009
964	53877	1954
965	53938	1898
966	53996	1842
967	54057	1787
968	54123	1731
969	54178	1675
970	54236	1619
971	54292	1563
972	54351	1508
973	54410	1452
974	54464	1396
975	54524	1340
976	54585	1285
977	54638	1229
978	54692	1173
979	54748	1117
980	54804	1061
981	54862	1005
982	54916	949
983	54976	893
984	55024	837
985	55093	782
986	55153	726
987	55203	670
988	55254	614
989	55314	558
990	55367	502
991	55428	447
992	55492	391
993	55544	335
994	55608	279
995	55663	223
996	55724	167
997	55775	111
998	55843	55
999	55907	0
