iter	TotalF1	MultiClass
98	0.9490967656	0.1163449765
99	0.9490999382	0.1160681039
100	0.9491145164	0.1158622936
101	0.949199686	0.1156526582
102	0.9492433195	0.1154301777
103	0.949336131	0.1151980534
104	0.9493151938	0.1149702387
105	0.9493241522	0.1147513445
106	0.9492993165	0.1145585959
107	0.9493486106	0.1143868055
108	0.9493352234	0.1141950606
109	0.9493381439	0.1140382575
110	0.9493206341	0.1138815833
111	0.9493583297	0.1137269187
112	0.9494341544	0.1135913469
113	0.9494302907	0.1134472844
114	0.9494331858	0.1132883584
115	0.9495229924	0.1131099088
116	0.9494979071	0.1129734347
117	0.9495051767	0.1128246186
118	0.9495771582	0.1127050763
119	0.9495652631	0.1125692287
120	0.9495733603	0.112464697
121	0.949603342	0.1123489881
122	0.9496181785	0.1122429436
123	0.9496815653	0.1121314896
124	0.9496915988	0.1119953127
125	0.9496905231	0.1118865448
126	0.9496825126	0.1117699798
127	0.9497640148	0.111667779
128	0.9497962342	0.1115809435
129	0.9498371004	0.1114800167
130	0.9498066323	0.1113824826
131	0.9498262356	0.1112817758
132	0.9498735367	0.1111368566
133	0.9498637617	0.111053416
134	0.9499234018	0.1109650338
135	0.9499656558	0.1108925603
136	0.9499805143	0.1107901538
137	0.9500267608	0.1107079438
138	0.9500086323	0.1106321948
139	0.950021036	0.1105508555
140	0.9501211931	0.1104611373
141	0.9501158518	0.1103922609
142	0.9501506546	0.1103009538
143	0.950185281	0.1102150612
144	0.9502092769	0.1101444275
145	0.9502837342	0.1100726708
146	0.9503201779	0.1100126539
147	0.9503169346	0.1099443241
148	0.9504080156	0.1098886712
149	0.9504718909	0.1098183625
150	0.9504635339	0.1097577917
151	0.9505502133	0.1096955486
152	0.9505540216	0.1096314605
153	0.9505774113	0.1095724756
154	0.9505737293	0.1095021992
155	0.9505921107	0.1094534445
156	0.9506391612	0.1093981913
157	0.9506752441	0.109330888
158	0.9507395452	0.1092794395
159	0.9507790093	0.1092052096
160	0.9507365372	0.1091487877
161	0.9506860235	0.1090900293
162	0.9507206162	0.109052573
163	0.9506994238	0.1090045006
164	0.950774024	0.1089640523
165	0.9507716317	0.1089363642
166	0.9507758441	0.1088978667
167	0.9507899926	0.1088113695
168	0.9508510343	0.1087543101
169	0.9508598889	0.1087089843
170	0.9509028391	0.1086361427
171	0.950907478	0.1085953538
172	0.950949918	0.1085418604
173	0.9509920242	0.1084666264
174	0.9510221596	0.1084314459
175	0.9510355879	0.1083897051
176	0.9510228476	0.1083305052
177	0.9510956153	0.108254274
178	0.9511297792	0.1082161693
179	0.9511933792	0.1081461375
180	0.9511936309	0.10809957
181	0.9512591577	0.1080515472
182	0.9513139926	0.1080113521
183	0.9513148864	0.1079570014
184	0.9513240045	0.1079176456
185	0.9513332257	0.1078706114
186	0.9513586009	0.1078220555
187	0.951345917	0.1077817594
188	0.9513377343	0.1077390708
189	0.9513682584	0.1076917151
190	0.9514365796	0.1075972773
191	0.9514620173	0.1075523166
192	0.9515005037	0.1075117512
193	0.951513455	0.1074724891
194	0.9515684553	0.1074275041
195	0.9515637674	0.1073775562
196	0.9515983352	0.1073312454
197	0.9516112711	0.1073015148
198	0.9515899994	0.1072267173
199	0.9516875857	0.1071522649
200	0.9516920245	0.1071046213
201	0.9517045721	0.1070657877
202	0.9516927965	0.107022053
203	0.9517013041	0.1069764837
204	0.9517530806	0.1069267949
205	0.9518087531	0.1068794973
206	0.9518560267	0.106820553
207	0.9518398721	0.1067994604
208	0.9519202806	0.1067185848
209	0.9519158258	0.1066809559
210	0.9519378457	0.1066381444
211	0.9519544112	0.1065533641
212	0.9519512485	0.1065066806
213	0.9520144429	0.106468745
214	0.9519978056	0.1064201009
215	0.9520394742	0.1063773492
216	0.9520569716	0.106319877
217	0.9520404634	0.1062896864
218	0.9520069816	0.1062419374
219	0.9520291223	0.1062082238
220	0.9520590865	0.106153634
221	0.9521370636	0.1061043619
222	0.9521406889	0.1060661124
223	0.9521495354	0.1060347845
224	0.9522599021	0.1059705193
225	0.9522675411	0.1059208478
226	0.9522898582	0.1058488402
227	0.9523375129	0.1058181516
228	0.9523338971	0.1057759331
229	0.9523420893	0.1057469854
230	0.9524054843	0.1056787632
231	0.9524262021	0.1056224679
232	0.9524647876	0.1055604106
233	0.9524523102	0.1055186101
234	0.952431519	0.1054883097
235	0.9524319324	0.1054289014
236	0.9525284083	0.105371646
237	0.9525036683	0.1053261583
238	0.9525335764	0.1053077917
239	0.9526309073	0.1052349851
240	0.9526818923	0.1051815462
241	0.9526864321	0.1051343374
242	0.9526907152	0.1051125091
243	0.9527581134	0.1050473353
244	0.9528057919	0.1049820135
245	0.9528711411	0.104947379
246	0.9529253249	0.1049032816
247	0.9528824442	0.1048671565
248	0.9529166094	0.1048289092
249	0.9529167261	0.1047875946
250	0.9529598303	0.1047540281
251	0.9529480838	0.1047081504
252	0.9530094668	0.1046685389
253	0.953025995	0.1046393527
254	0.9530251784	0.1046115815
255	0.9530585594	0.1045777267
256	0.95309508	0.1045511247
257	0.9531423997	0.1045076993
258	0.9531644937	0.1044711752
259	0.9532408303	0.1044307915
260	0.9532783141	0.1043886688
261	0.953234292	0.1043545359
262	0.9532515432	0.1043086666
263	0.9533247157	0.1042638384
264	0.9533169809	0.1042296306
265	0.9533155525	0.1041872811
266	0.9533502095	0.1041371419
267	0.9534056177	0.1040997124
268	0.953477596	0.1040473876
269	0.9534784505	0.1040123601
270	0.9534914642	0.1039553298
271	0.9535848291	0.1038998988
272	0.9535686472	0.1038811057
273	0.9535937242	0.1038473024
274	0.9535936145	0.1038109427
275	0.9536215574	0.1037738801
276	0.953613457	0.1037404329
277	0.9536686251	0.1037004758
278	0.9536690223	0.1036545592
279	0.9536653912	0.1036289608
280	0.9536652789	0.1036107049
281	0.9537633206	0.1035628587
282	0.953754119	0.1035313481
283	0.9537550619	0.1034909943
284	0.9537982504	0.1034550081
285	0.9537896175	0.1034291472
286	0.9538789973	0.1033867371
287	0.953908388	0.1033614972
288	0.9539040253	0.1033314017
289	0.9539051052	0.1032982909
290	0.9539182722	0.103261545
291	0.9539350959	0.1032422992
292	0.9539475183	0.1032046354
293	0.9540243086	0.1031806874
294	0.9540327458	0.1031455442
295	0.9540669138	0.103096919
296	0.9540924688	0.1030441343
297	0.9540710092	0.1029897537
298	0.9540879219	0.1029638673
299	0.9541262806	0.1029458167
300	0.9541174991	0.1029128394
301	0.9541556981	0.1028757225
302	0.9541775176	0.1028417007
303	0.9541813841	0.1027936747
304	0.9541601909	0.1027604886
305	0.9542025882	0.1027277199
306	0.9542119038	0.1026822983
307	0.9541740974	0.1026434483
308	0.9541861604	0.1026073178
309	0.9541947265	0.102579701
310	0.9542114368	0.1025416864
311	0.9542159324	0.1024985789
312	0.9542204566	0.1024564596
313	0.9542287901	0.1024161452
314	0.9542707222	0.1023881196
315	0.9542412672	0.1023451772
316	0.9542415185	0.1023274126
317	0.9542370172	0.1023056266
318	0.9542198925	0.1022756671
319	0.9542619003	0.1022292024
320	0.9542881558	0.1022110704
321	0.9543143333	0.1021768742
322	0.9543183768	0.1021465887
323	0.9542928803	0.102118366
324	0.9543051673	0.1020868858
325	0.954318374	0.1020532685
326	0.9543227032	0.1020314705
327	0.9543484623	0.1020001607
328	0.954348243	0.1019742012
329	0.9543651017	0.1019534643
330	0.9543654101	0.1019157643
331	0.9544124658	0.1018851225
332	0.9544082417	0.1018363663
333	0.9544509044	0.1018134833
334	0.9544807043	0.1017842242
335	0.9544974633	0.1017584033
336	0.9545147336	0.1017192413
337	0.9545325785	0.101691849
338	0.9545456383	0.1016586835
339	0.9545367865	0.1016341147
340	0.9545238441	0.1016014346
341	0.9545410484	0.1015760537
342	0.9545801257	0.1015410104
343	0.9545635201	0.1015219888
344	0.9545632936	0.1015046812
345	0.9545587142	0.1014796248
346	0.9545926514	0.1014525691
347	0.9545929978	0.1014105686
348	0.954609893	0.1013827051
349	0.9546479254	0.1013495843
350	0.9546311553	0.1013089853
351	0.9546692929	0.1012859726
352	0.9546275837	0.1012522248
353	0.9546570478	0.1012268756
354	0.954648858	0.1011993053
355	0.9546829849	0.1011800258
356	0.9547083095	0.1011499045
357	0.9547165681	0.1011236073
358	0.9547033707	0.1010978766
359	0.9547249622	0.1010651558
360	0.9547426757	0.1010496137
361	0.9548318034	0.1010144716
362	0.9548536597	0.1009871249
363	0.9548706611	0.100961416
364	0.9548918458	0.1009406041
365	0.9548532522	0.1009024305
366	0.9549127253	0.1008785708
367	0.9549081569	0.1008467741
368	0.9549296468	0.1008224582
369	0.9549251281	0.100777425
370	0.9550058462	0.1007494525
371	0.955019262	0.1007216707
372	0.955014481	0.1006916665
373	0.955015586	0.1006663817
374	0.9550538361	0.1006330068
375	0.9550330608	0.1006184036
376	0.9550287961	0.1005939766
377	0.9550720908	0.1005693904
378	0.9550894311	0.1005433727
379	0.9551400064	0.100510322
380	0.9551739127	0.1004812544
381	0.9551785644	0.100443665
382	0.9551819027	0.1004004807
383	0.9552247417	0.1003697962
384	0.9552554343	0.1003435857
385	0.9552602395	0.1003051407
386	0.9553112875	0.1002817297
387	0.9553155747	0.1002612079
388	0.9552986174	0.1002249157
389	0.9553154052	0.1001965457
390	0.955328925	0.1001699036
391	0.9553423456	0.1001525549
392	0.9553123136	0.1001309186
393	0.9553335406	0.1001025989
394	0.9553198611	0.1000813849
395	0.9553462524	0.1000594145
396	0.9554236368	0.09999990777
397	0.9554229479	0.09996602443
398	0.9554782811	0.09993850898
399	0.9554868294	0.09991752821
400	0.9554153607	0.09989055392
401	0.9554663872	0.09987090997
402	0.9554750941	0.0998264872
403	0.9554497832	0.09980902533
404	0.9554879368	0.09977951161
405	0.9555178168	0.09976709744
406	0.955564484	0.09974092941
407	0.9555260224	0.09971920859
408	0.9555542831	0.09966175696
409	0.9555800441	0.09963475805
410	0.9555811771	0.09960507074
411	0.9555993883	0.09957478579
412	0.9556500357	0.09955201299
413	0.9556496233	0.09952874122
414	0.9556879183	0.09949804487
415	0.9556846303	0.09948325248
416	0.9557016733	0.0994594106
417	0.9557100896	0.0994442475
418	0.9557141224	0.09941188612
419	0.9557055658	0.09939750259
420	0.9557276475	0.09937546579
421	0.9557900193	0.09934628737
422	0.9558069924	0.09932788594
423	0.9558002511	0.09931036018
424	0.9558044775	0.09928677883
425	0.9558179949	0.09926702191
426	0.9557844796	0.09924711619
427	0.9558444553	0.09921424526
428	0.9558444719	0.099184405
429	0.9558406822	0.09916983582
430	0.9558697378	0.09914896812
431	0.9559164697	0.09910898735
432	0.9559414738	0.0990742206
433	0.9559122261	0.0990521656
434	0.9558984693	0.09903720997
435	0.9558738839	0.09901079403
436	0.9558943919	0.09898403896
437	0.9559199892	0.09895072907
438	0.9559457074	0.09892067062
439	0.9559417524	0.09889147126
440	0.9559629144	0.0988688799
441	0.955962984	0.09885063887
442	0.9560021506	0.09881879593
443	0.9560389326	0.09878884293
444	0.9560517138	0.0987585252
445	0.9560934528	0.09872935033
446	0.956140498	0.09869266023
447	0.9561495821	0.09865848324
448	0.9561619367	0.09862944716
449	0.9561457945	0.0986159742
450	0.9561585579	0.09859368353
451	0.9561626903	0.09856880486
452	0.9561476401	0.09853804075
453	0.9561302548	0.09852183649
454	0.9561380489	0.09849517008
455	0.9561601638	0.09847089304
456	0.9561597651	0.0984367606
457	0.9561728044	0.09841646286
458	0.9561773398	0.09838101197
459	0.9562114795	0.09835501873
460	0.9562114546	0.09833340901
461	0.9562328074	0.09831201709
462	0.9562708009	0.09829577663
463	0.9562758728	0.09827814948
464	0.9562752651	0.09826244573
465	0.9562924606	0.09824259713
466	0.9562920471	0.09820789516
467	0.9563215379	0.09819360446
468	0.9563215934	0.09817464506
469	0.9563683825	0.09812314819
470	0.9564247848	0.09810000205
471	0.9564501715	0.09807571011
472	0.9564543736	0.09803579666
473	0.9564674518	0.09800430346
474	0.9564758771	0.09798838206
475	0.9564892558	0.09795391852
476	0.9564724411	0.09792646991
477	0.9564979014	0.09790127602
478	0.9565241493	0.09787057559
479	0.9565110555	0.09785537203
480	0.9565318878	0.0978294177
481	0.9565241229	0.09781713781
482	0.9565788619	0.09779333341
483	0.9565998854	0.09777403944
484	0.956621259	0.09775079783
485	0.9566433446	0.09772255362
486	0.9566680719	0.09769203708
487	0.9566555062	0.09767643301
488	0.956630414	0.09764695773
489	0.956643072	0.09763004342
490	0.956660296	0.09761347441
491	0.9566697466	0.09759404706
492	0.9566562537	0.09757276436
493	0.9566648656	0.09754507966
494	0.9566904284	0.09750101526
495	0.9567158151	0.09747807921
496	0.9567110444	0.09744726361
497	0.9567330584	0.09742919061
498	0.9567372934	0.09740696766
499	0.9567542413	0.09738186093
500	0.9567849606	0.09735257966
501	0.956793649	0.09732853851
502	0.9568016839	0.09728204849
503	0.956822903	0.09725911748
504	0.9568233312	0.09723044927
505	0.9568449038	0.09720583619
506	0.9568400768	0.09718068065
507	0.9568532439	0.09716335223
508	0.9568788729	0.09713711964
509	0.9568963447	0.09711665367
510	0.9569132533	0.09708521845
511	0.9568539504	0.09706198158
512	0.9568838549	0.09703751275
513	0.9569110461	0.09701575061
514	0.9569237861	0.09699636073
515	0.9569624217	0.09697861579
516	0.956974916	0.09695898378
517	0.9569837367	0.09694449083
518	0.9570178353	0.09692866965
519	0.9570726432	0.09687316476
520	0.9570773112	0.09685817894
521	0.9571068713	0.09684130981
522	0.9571365127	0.0968243879
523	0.9570783297	0.0968039509
524	0.9570701598	0.09677909573
525	0.9570823678	0.09675947132
526	0.9570866246	0.09673266993
527	0.9571159461	0.09670424642
528	0.9571244539	0.09667068002
529	0.9571624426	0.09665967787
530	0.9571836352	0.09664018759
531	0.9572215251	0.09660928055
532	0.957230131	0.09659495905
533	0.9572729345	0.0965499094
534	0.9572861955	0.09652915071
535	0.9572618777	0.09650857694
536	0.957270898	0.09649230683
537	0.9572755745	0.09645968298
538	0.957284651	0.09643892326
539	0.9573236242	0.09640876768
540	0.9573439222	0.096389498
541	0.9573695162	0.09635958476
542	0.9573525786	0.09634453032
543	0.9573652706	0.09632464244
544	0.9574327686	0.09630684452
545	0.9574410519	0.09629606915
546	0.9574949596	0.09626692844
547	0.9574804338	0.0962526875
548	0.9575207444	0.09623959467
549	0.9575672392	0.09622348518
550	0.9575504714	0.09620877701
551	0.9575246099	0.09618529167
552	0.9575015807	0.09616442388
553	0.9575182133	0.0961527124
554	0.9575055794	0.09613409724
555	0.957497327	0.09607626345
556	0.9574848538	0.09604433689
557	0.957501802	0.09603479643
558	0.9574976119	0.09602013499
559	0.9575488443	0.09600175713
560	0.9575539152	0.09597182085
561	0.9575796784	0.09595681793
562	0.9576007108	0.09593741294
563	0.9575921406	0.09590887041
564	0.9575799338	0.09588707014
565	0.9576431712	0.09585909387
566	0.9576731427	0.09583665369
567	0.9577026667	0.09581411792
568	0.9577024588	0.09578483175
569	0.9576788246	0.09575234438
570	0.9577032462	0.09572100624
571	0.9577520909	0.09568993577
572	0.9577309059	0.09567185125
573	0.9577264242	0.09565730193
574	0.9577690307	0.09563193447
575	0.9577644155	0.0956072332
576	0.9578287778	0.0955810468
577	0.9578436559	0.09555618564
578	0.9578862404	0.09554192717
579	0.9578778899	0.0955261159
580	0.9578876696	0.09550421036
581	0.9578917187	0.09547868211
582	0.9579085333	0.09546262599
583	0.957891852	0.09544784987
584	0.9579259494	0.09542576487
585	0.957938894	0.09540678712
586	0.9579772295	0.09538870059
587	0.9579945783	0.09536048694
588	0.9579719897	0.09534861558
589	0.9579506282	0.09532615513
590	0.9579464367	0.09530617317
591	0.9579593252	0.0952879055
592	0.9579932992	0.09526611227
593	0.957989025	0.09524998549
594	0.9579930358	0.0952283395
595	0.95800301	0.09521025944
596	0.9579819688	0.0951946821
597	0.9579946498	0.09517325419
598	0.9580161038	0.09515900182
599	0.958024586	0.0951486981
600	0.9580328052	0.09514250437
601	0.9580848308	0.09511346084
602	0.9581083992	0.09509533804
603	0.9581381021	0.0950780683
604	0.9581314444	0.0950614858
605	0.9581404885	0.09504492049
606	0.9581318269	0.09502627885
607	0.9581745037	0.0950162597
608	0.9581470393	0.09499134699
609	0.9581387626	0.09497773627
610	0.9581343132	0.09495767588
611	0.95813232	0.09493183154
612	0.9581573656	0.09490708999
613	0.9581745183	0.09489618165
614	0.9581795783	0.09488479377
615	0.95816685	0.09487354731
616	0.958175716	0.09486002623
617	0.9581783144	0.09484540771
618	0.9581609954	0.09482674056
619	0.9581485018	0.09480950114
620	0.9581999065	0.0947864755
621	0.958223126	0.09476431836
622	0.9582104349	0.09474866998
623	0.9582318543	0.09473326651
624	0.9582229865	0.09470592479
625	0.9582697512	0.09468945267
626	0.9582742212	0.09467425566
627	0.9583000951	0.09466088435
628	0.9583043589	0.09464811443
629	0.9583085775	0.0946364606
630	0.95832099	0.09461208274
631	0.9583293523	0.09457775416
632	0.958348942	0.09454857934
633	0.9583279622	0.09452837916
634	0.9583447981	0.0944996606
635	0.9583322362	0.09446446226
636	0.9583321516	0.09443551691
637	0.9583361655	0.09442074439
638	0.9583663981	0.09440860788
639	0.9583747315	0.09438634697
640	0.9583704772	0.09436385292
641	0.9583365089	0.09433900897
642	0.9583579335	0.09431180263
643	0.9584001144	0.09428697797
644	0.9584048713	0.09427472029
645	0.9584304715	0.09425581324
646	0.9584475581	0.09423210335
647	0.9584812236	0.09419665324
648	0.9584854994	0.09418177478
649	0.9584810316	0.09417245132
650	0.9585664179	0.09414572543
651	0.9585744902	0.09413120639
652	0.958561853	0.09412032651
653	0.9585230411	0.09409955016
654	0.958570277	0.09406615198
655	0.9585786007	0.09404926009
656	0.9585999124	0.09401594935
657	0.9586085538	0.09400188533
658	0.9586002946	0.09398838516
659	0.9586216388	0.09397429644
660	0.9586343634	0.09395006501
661	0.95865587	0.09393264364
662	0.958655657	0.09391818263
663	0.9586394753	0.09390486638
664	0.9586987394	0.0938733595
665	0.9586858738	0.093861779
666	0.9586554806	0.09384758612
667	0.958655767	0.09381891218
668	0.9586768768	0.09381014492
669	0.9586895039	0.09379092505
670	0.9586722716	0.09377254809
671	0.9587236524	0.09375338881
672	0.9587111386	0.09374042318
673	0.9587200706	0.09372570072
674	0.9587410545	0.0937121374
675	0.9587369291	0.0936947881
676	0.9587458307	0.09367360275
677	0.9587793049	0.09365139688
678	0.9587967377	0.09363120538
679	0.9588145122	0.09361563228
680	0.9588308815	0.09360350328
681	0.9588435234	0.09358114268
682	0.9588482241	0.09356856003
683	0.9588442578	0.0935468594
684	0.9588567466	0.09353473115
685	0.9589343073	0.09351312884
686	0.9588776794	0.09349997782
687	0.9588859174	0.09348594132
688	0.9588859697	0.09346055935
689	0.9589325611	0.09342840518
690	0.9589454644	0.09340082656
691	0.9589880713	0.09338448042
692	0.9589795249	0.09337200113
693	0.9589928974	0.09335628743
694	0.9589970538	0.09334162267
695	0.9590320519	0.09332076232
696	0.9590152409	0.09330147911
697	0.9590191289	0.09328607568
698	0.9590068598	0.09327574377
699	0.9590270249	0.09325178978
700	0.9590313509	0.09323568191
701	0.959095995	0.09320525593
702	0.9591003432	0.0931874179
703	0.9591129059	0.09317315638
704	0.9590833036	0.09315937426
705	0.959096188	0.09312615818
706	0.9590963166	0.09311793825
707	0.9590963574	0.09310240413
708	0.9591298833	0.0930908104
709	0.959134444	0.09305593518
710	0.9591466451	0.09301795037
711	0.9591471113	0.09299550222
712	0.9591475037	0.09298014263
713	0.9591392472	0.09296584108
714	0.9591260635	0.09295300899
715	0.959168634	0.09293503983
716	0.9591605728	0.09291639166
717	0.9591903698	0.09290316354
718	0.95917745	0.09289000761
719	0.9591647478	0.09287672407
720	0.9591774212	0.09286820775
721	0.9592195767	0.09285185785
722	0.9592235531	0.09283631807
723	0.9591940428	0.09282004626
724	0.9592110252	0.09280120143
725	0.9592322298	0.09278516959
726	0.9592279676	0.09276799848
727	0.9592066011	0.0927584612
728	0.9592574968	0.09273917195
729	0.9592660434	0.09272889577
730	0.9592749849	0.09270629087
731	0.9592962873	0.09268171821
732	0.9593002227	0.09267199217
733	0.9593045599	0.09266122459
734	0.9593045599	0.09264819949
735	0.959321694	0.0926338119
736	0.9593260153	0.09259821302
737	0.9593344038	0.09258144533
738	0.959355642	0.09257052382
739	0.9593641771	0.0925557545
740	0.9593510243	0.09253154403
741	0.9593595707	0.09252409679
742	0.959393425	0.09250929238
743	0.9594060531	0.09249391977
744	0.9593976344	0.09248533882
745	0.9593763435	0.09246697828
746	0.9593973615	0.09244292983
747	0.9594058789	0.09242311663
748	0.9594187691	0.09240714434
749	0.9594356524	0.09239570268
750	0.9594097798	0.09238493548
751	0.9594484897	0.09236482847
752	0.9594315084	0.09234238214
753	0.9594793712	0.09232758286
754	0.9594742934	0.09230379058
755	0.9595050316	0.09228069173
756	0.959534998	0.09227075235
757	0.9595339237	0.09223173753
758	0.9595469221	0.09221517488
759	0.9595597289	0.09220661679
760	0.9595810702	0.09219471846
761	0.9596073985	0.09217855697
762	0.9595937504	0.09216576823
763	0.9596113358	0.09214046514
764	0.9596371629	0.0921272949
765	0.9596286695	0.09211879491
766	0.9595860165	0.09210641329
767	0.9596075073	0.09209808762
768	0.9596037012	0.09207893684
769	0.9596247365	0.09206613716
770	0.959594954	0.09203172343
771	0.9596246617	0.09201158234
772	0.9596715982	0.09199191579
773	0.9597314734	0.09197257158
774	0.9597057862	0.09195822578
775	0.9597439752	0.0919446474
776	0.9597179431	0.09191725001
777	0.9597268944	0.09189076812
778	0.9597227995	0.09187958541
779	0.9597441063	0.09186604813
780	0.9597693446	0.09185110051
781	0.9597524436	0.09183871408
782	0.9597690928	0.09182288803
783	0.9597654438	0.0918092743
784	0.959786608	0.09179746732
785	0.9597994884	0.09178264561
786	0.9598074299	0.09175942997
787	0.9598034676	0.09173152193
788	0.9598121573	0.09171070137
789	0.9597995513	0.09169782145
790	0.9598083871	0.0916807782
791	0.959813329	0.0916679355
792	0.9598290445	0.09164129295
793	0.9598587216	0.09162575885
794	0.9598375034	0.09161112973
795	0.959825682	0.09159423517
796	0.959817074	0.09158228957
797	0.9598769595	0.09156745951
798	0.9598685938	0.09154967904
799	0.9598935779	0.09152456608
800	0.9599403183	0.09150202915
801	0.9599322281	0.09149164895
802	0.9599914565	0.09146913278
803	0.9599903019	0.09145452375
804	0.9600072476	0.09144217841
805	0.9600279809	0.09142975414
806	0.960049702	0.09141202622
807	0.9600537981	0.09139313022
808	0.9600577828	0.09137127583
809	0.9600625882	0.09136445442
810	0.9600460759	0.09133967574
811	0.9600748337	0.0913302434
812	0.9600920369	0.09131956068
813	0.9600751358	0.09130918474
814	0.9600878352	0.09128727875
815	0.9601005774	0.09127313992
816	0.9600920448	0.09126212356
817	0.9600793011	0.09124754757
818	0.9601051054	0.0912232063
819	0.9601049614	0.09120870788
820	0.9601135062	0.09119450441
821	0.9601431622	0.09118293595
822	0.9601689959	0.09116287453
823	0.9601782374	0.0911442105
824	0.9601817578	0.09112834981
825	0.9601777863	0.09111000741
826	0.9601860619	0.09109757403
827	0.9601774546	0.09108733154
828	0.9601861929	0.09106798622
829	0.9602072854	0.09105321134
830	0.9602159425	0.09103634152
831	0.9602163548	0.09101467646
832	0.9602331565	0.09100493061
833	0.9602671837	0.09098796808
834	0.9602585018	0.09097494852
835	0.9602454977	0.09096753661
836	0.960258246	0.09095447414
837	0.9602205214	0.09094420399
838	0.9602374226	0.09093105472
839	0.9602453481	0.09091785636
840	0.9602248244	0.09090254374
841	0.9602629731	0.09089141947
842	0.9602589386	0.09087241119
843	0.9602760892	0.09086119011
844	0.9602889493	0.09084929308
845	0.9603059809	0.09082743447
846	0.96031044	0.09081709891
847	0.9603311522	0.09080278175
848	0.9603362272	0.09078868091
849	0.9603617342	0.09077726347
850	0.9603617964	0.09076998835
851	0.9603578415	0.09074776115
852	0.9603536128	0.09073232684
853	0.9603793121	0.09070327309
854	0.9603997702	0.09067686153
855	0.9603961826	0.09066650405
856	0.9603873901	0.09065612497
857	0.9604216271	0.09063016031
858	0.9604301087	0.09061667062
859	0.9604470588	0.09060602624
860	0.9604559363	0.09059282999
861	0.960455973	0.09057527695
862	0.9605099868	0.09055992733
863	0.9605147802	0.09054958904
864	0.9605361318	0.09053933783
865	0.9605487739	0.09051136918
866	0.9605234155	0.0904947954
867	0.9605154398	0.09046043445
868	0.9605320744	0.09044547409
869	0.9605446417	0.09043682381
870	0.9605275677	0.09042392275
871	0.9605317439	0.0904057344
872	0.9605444018	0.09038898893
873	0.9605407515	0.09037605789
874	0.9605443917	0.09035876139
875	0.9605530826	0.09034720885
876	0.9605575771	0.09032235141
877	0.9605789921	0.09030284066
878	0.9605960165	0.09029546616
879	0.9606172405	0.09028546436
