CASENUM,VEH_NO,TRAILER_NO,VEHICLEDESCRIPTOR,VINDECODEDON,VINDECODEERROR,VEHICLETYPEID,VEHICLETYPE,MANUFACTURERFULLNAMEID,MANUFACTURERFULLNAME,MAKEID,MAKE,MODELID,MODEL,MODELYEAR,SERIES,TRIM,PLANTCOUNTRYID,PLANTCOUNTRY,PLANTSTATE,PLANTCITY,PLANTCOMPANYNAME,NONLANDUSEID,NONLANDUSE,NOTE,BODYCLASSID,BODYCLASS,GROSSVEHICLEWEIGHTRATINGFROMID,GROSSVEHICLEWEIGHTRATINGFROM,GROSSVEHICLEWEIGHTRATINGTOID,GROSSVEHICLEWEIGHTRATINGTO,TRAILERBODYTYPEID,TRAILERBODYTYPE,TRAILERTYPECONNECTIONID,TRAILERTYPECONNECTION,TRAILERLENGTHFT,OTHERTRAILERINFO,AXLESCOUNT,AXLECONFIGURATIONID,AXLECONFIGURATION
202304884017,1,1,1TTE532S*L3******,2024-08-02 03:06:25,0,6,TRAILER,8231,TRANSCRAFT CORPORATION,12050,TRANSCRAFT/WABASH,27662,Steel Flatbed,2020,,,6,UNITED STATES (USA),KENTUCKY,CADIZ,,,,,61,Trailer,,,,,61,Drop Deck Trailer,6,Kingpin,53.000,,2,,
202304886826,1,1,4RACS101*2N******,2024-08-02 03:06:25,0,6,TRAILER,16586,"INTERSTATE GROUP, LLC",7701,INTERSTATE WEST CORP,20698,Interstate West Corp,2002,,,6,UNITED STATES (USA),IDAHO,NAMPA,,,,,61,Trailer,,,,,160,Cargo Trailer,2,Pintle Hitch/Hook,10.000,,1,,
202304887362,1,1,4P5D3122*L1******,2024-08-02 03:06:25,0,6,TRAILER,16013,"PJ TRAILERS MANUFACTURING, INC.",6060,PJ,28324,PJ,2020,,,6,UNITED STATES (USA),TEXAS,SUMNER,,,,,61,Trailer,2,"Class 2: 6,001 - 10,000 lb (2,722 - 4,536 kg)",2,"Class 2: 6,001 - 10,000 lb (2,722 - 4,536 kg)",4,Dump Trailer/Dumping Trailer,14,Bumper Pull,12.000,Variable HITCH based on Size/Type of Trailer,2,,
202304889397,2,1,5MAMN483*KW******,2024-08-02 03:06:25,0,6,TRAILER,5950,"MAC TRAILER MFG, INC.",6826,MAC TRAILER MANUFACTURING,18288,MAC TRAILER MANUFACTURING,2019,,,6,UNITED STATES (USA),,ALLIANCE,MAIN STREET 70,,,,61,Trailer,,,,,141,Transfer Trailer,6,Kingpin,48.000,Mover or Tipper Style,3,,
202304894890,2,1,7HCKL061*KM******,2024-08-02 03:06:25,0,6,TRAILER,19404,"TEXAS PRIDE TRAILERS, LLC DBA U.S. BUILT TRAILERS",10148,TEXAS PRIDE TRAILERS,26245,Texas Pride Trailers,2019,,,6,UNITED STATES (USA),TEXAS,MADDISONVILLE,,,,,61,Trailer,,,,,11,Lowboy/Low bed Trailer,6,Kingpin,6.000,,1,,
202304900483,2,1,1UYVS250*AM******,2024-08-02 03:06:25,0,6,TRAILER,10289,UTILITY TRAILER MANUFACTURING COMPANY,10138,UTILITY TRAILER MANUFACTURER,26222,Utility Trailer Manufacturer,2010,,,6,UNITED STATES (USA),VIRGINIA,MARION,,,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,50.000,,2,,
202304901042,2,1,1UYVS253*P3******,2024-08-02 03:06:25,0,6,TRAILER,10289,UTILITY TRAILER MANUFACTURING COMPANY,10138,UTILITY TRAILER MANUFACTURER,26222,Utility Trailer Manufacturer,2023,,,6,UNITED STATES (USA),ARKANSAS,PARAGOULD,,,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,53.000,,2,,
202304901043,1,1,1UYVS253*BU******,2024-08-02 03:06:25,0,6,TRAILER,10289,UTILITY TRAILER MANUFACTURING COMPANY,10138,UTILITY TRAILER MANUFACTURER,26222,Utility Trailer Manufacturer,2011,,,6,UNITED STATES (USA),UTAH,CLEARFIELD,,,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,53.000,,2,,
202304903927,1,1,5JYLB352*LP******,2024-08-02 03:06:25,0,6,TRAILER,2290,PITTS ENTERPRISES INC,2831,PITTS TRAILERS,6775,Pitts Trailers,2020,,,6,UNITED STATES (USA),ALABAMA,PITTSVIEW,,,,,61,Trailer,,,,,11,Lowboy/Low bed Trailer,,,,Trailer Capacity: 35 tons,2,,
202304903927,2,1,1UYVS253*3U******,2024-08-02 03:06:25,0,6,TRAILER,10289,UTILITY TRAILER MANUFACTURING COMPANY,10138,UTILITY TRAILER MANUFACTURER,26222,Utility Trailer Manufacturer,2003,,,6,UNITED STATES (USA),UTAH,CLEARFIELD,,,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,53.000,,2,,
202304907459,2,1,43ZGD122*L0******,2024-08-02 03:06:25,0,6,TRAILER,9978,"U-DUMP TRAILERS, LLC",7023,U-DUMP TRAILERS LLC,18655,U-Dump Trailers LLC,2020,,,6,UNITED STATES (USA),FLORIDA,OCALA,,,,,61,Trailer,,,,,4,Dump Trailer/Dumping Trailer,3,Gooseneck,12.000,,2,,
202304907781,1,1,LJRC5426*H1******,2024-08-02 03:06:25,0,6,TRAILER,9950,"CIMC VEHICLES GROUP CO., LTD.",4101,CIMC VEHICLES GROUP CO,8811,CIMC VEHICLES GROUP CO,2017,,,8,CHINA,,SHENZHEN,,,,"GVWR = 30,000-34,990kg",61,Trailer,9,"Class 8: 33,001 lb and above (14,969 kg and above)",,,109,Container Chassis/Container Trailer,,,54.000,,2,,
202304909855,1,1,1N9GL323*6T263***,2024-08-02 03:06:25,0,6,TRAILER,13563,"C DIAMOND F, INC.",4288,NECKOVER TRAILERS,9078,Neckover Trailers,2006,,,6,UNITED STATES (USA),TEXAS,TROUP,Neckover Trailers,,,,61,Trailer,,,,,13,Livestock Trailer,3,Gooseneck,32.000,,3,,
202304916851,2,1,5JW0E121*P7******,2024-08-02 03:06:25,0,6,TRAILER,9916,NOVAE LLC,11605,LOOK TRAILERS,30028,Look Trailers,2023,,,6,UNITED STATES (USA),INDIANA,MIDDLEBURY,,,,,61,Trailer,,,,,5,Enclosed Trailer,1,Ball Type Pull,12.000,,1,,
202304918340,1,1,1WF200C1*C1******,2024-08-02 03:06:25,0,6,TRAILER,16014,"UNIVERSAL TRAILER CARGO GROUP, INC.",6062,WELLS CARGO,15857,Wells Cargo Trailer,2012,,,6,UNITED STATES (USA),INDIANA,,,,,,61,Trailer,,,,,5,Enclosed Trailer,,,,8 to less than 10 ft,1,,
202304922277,1,1,1E1D1X28*6R******,2024-08-02 03:06:25,0,6,TRAILER,5338,EAST MANUFACTURING CORP.,1334,EAST MANUFACTURING CORP.,4686,East Manufacturing Corp,2006,,,6,UNITED STATES (USA),OHIO,RANDOLPH,,,,,61,Trailer,9,"Class 8: 33,001 lb and above (14,969 kg and above)",,,4,Dump Trailer/Dumping Trailer,,,46.000,Aluminum Body - Steel Frame,2,,
202304922907,1,1,5K8CG402*PH******,2024-08-02 03:06:25,0,6,TRAILER,5696,HERCULES ENTERPRISES LLC.,10784,HERCULES ENTERPRISES LLC.,28275,HERCULES ENTERPRISES LLC.,2023,,,6,UNITED STATES (USA),NEW JERSEY,HILLSBOROUGH,,,,,61,Trailer,,,,,109,Container Chassis/Container Trailer,3,Gooseneck,40.000,Container Chassis,2,,
202304925165,3,1,2A92B522*1R023***,2024-08-02 03:06:25,0,6,TRAILER,10911,WALTRON TRAILERS INC.,8557,WALTRON LIMITED,22524,Waltron Limited,2001,,,1,CANADA,ONTARIO,RIDGETOWN,,,,,61,Trailer,,,,,2,Boat Trailer,,,52.000,Semi-Trailer pulled by Fifth Wheel,2,,
202304925566,1,1,5WSABB33*RN******,2024-08-02 03:06:25,0,6,TRAILER,10142,WALKER STAINLESS EQUIPMENT CO,12518,WABASH TANKS,32629,NON-DOT/TC Spec,2024,,,6,UNITED STATES (USA),WISCONSIN,NEW LISBON,,,,,61,Trailer,,,,,15,Tank Trailer,4,Straight Semi/Semi Trailer,,Trailer Length (feet): 40-49,3,,
202304928178,1,1,4YMBD142*JG******,2024-08-02 03:06:25,0,6,TRAILER,13315,"CARRY-ON TRAILER, INC.",4933,CARRY-ON TRAILER,12040,Carry-On Trailer,2018,,,6,UNITED STATES (USA),GEORGIA,LAONIA,,,,,61,Trailer,,,,,4,Dump Trailer/Dumping Trailer,1,Ball Type Pull,14.000,,2,,
202304930418,2,1,1UYVS253*EU******,2024-08-02 03:06:25,0,6,TRAILER,10289,UTILITY TRAILER MANUFACTURING COMPANY,10138,UTILITY TRAILER MANUFACTURER,26222,Utility Trailer Manufacturer,2014,,,6,UNITED STATES (USA),UTAH,CLEARFIELD,,,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,53.000,,2,,
202304934719,2,1,1GRAA062*6T******,2024-08-02 03:06:25,0,6,TRAILER,1073,GREAT DANE TRAILERS,520,GREAT DANE TRAILERS,13436,Great Dane Trailers,2006,,,6,UNITED STATES (USA),INDIANA,TERRE HAUTE,,,,Effective 03/01/00,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,6.000,Dry Freight/ Reefer/ Insulated Van,2,,
202304936586,2,1,5HTSA422*P7******,2024-08-02 03:06:25,1,6,TRAILER,5564,"HEIL TRAILER INTERNATIONAL, CO",2365,"HEIL TRAILER INTERNATIONAL, CO.",6142,"Heil Trailer International, Co.",2023,,,6,UNITED STATES (USA),TENNESSEE,ATHENS,,,,,61,Trailer,,,,,15,Tank Trailer,4,Straight Semi/Semi Trailer,42.000,AL 306/406,2,,
202304938548,1,1,5KTPS252*DF******,2024-08-02 03:06:25,0,6,TRAILER,10097,KARAVAN TRAILERS INC.,5044,KARAVAN TRAILER,12425,Karavan Trailer,2013,,,6,UNITED STATES (USA),WISCONSIN,FOX LAKE,,,,,61,Trailer,,,,,101,Other,31,Ball Hitch,25.000,Pontoon Trailer,2,,
202304938607,1,1,1GRDM962*HH******,2024-08-02 03:06:25,0,6,TRAILER,1073,GREAT DANE TRAILERS,520,GREAT DANE TRAILERS,13436,Great Dane Trailers,2017,,,6,UNITED STATES (USA),TENNESSEE,HUNTSVILLE,,,,,61,Trailer,,,,,,,4,Straight Semi/Semi Trailer,48.000,Platform,2,,
202304939887,2,1,1JJV532D*PL******,2024-08-02 03:06:25,0,6,TRAILER,14508,WABASH NATIONAL CORPORATION,12319,WABASH VANS,10942,Dry Van Duraplate,2023,,,6,UNITED STATES (USA),INDIANA,LAFAYETTE,,,,,61,Trailer,,,,,36,Van Trailer,6,Kingpin,53.000,,2,,
